Depth,Ice age (a B1950),Ice age std (a),Gas age (a B1950),Gas age std (a),Accu. Rate (m ie),Thinning,LIDIE
472.00,29697.60,1955.50,23148.10,2297.79,0.0118,0.8914,70.30
474.00,29888.20,1989.66,23387.10,2277.41,0.0120,0.8923,69.80
476.00,30075.20,2060.55,23621.10,2425.84,0.0109,0.8932,68.13
478.00,30280.40,2081.89,23978.90,2545.01,0.0109,0.8941,66.50
480.00,30486.40,2045.79,24350.80,2449.49,0.0114,0.8950,65.03
482.00,30681.90,2060.33,24711.50,2405.78,0.0118,0.8959,63.50
484.00,30871.20,2186.56,25081.80,2449.02,0.0113,0.8969,61.75
486.00,31068.50,2100.88,25474.80,2455.44,0.0118,0.8976,62.59
488.00,31257.90,2032.29,25615.10,2477.11,0.0122,0.8986,64.21
490.00,31440.10,2000.00,25671.30,2507.74,0.0123,0.8995,65.72
492.00,31621.60,2069.13,25738.00,2516.91,0.0115,0.9006,67.02
494.00,31815.40,1824.17,25813.50,2542.07,0.0122,0.9016,69.29
496.00,31996.70,1690.61,25826.70,2324.94,0.0131,0.9025,69.38
498.00,32166.20,1562.68,26016.80,2361.20,0.0137,0.9034,68.13
500.00,32327.30,1549.83,26360.00,2234.71,0.0134,0.9041,66.61
502.00,32492.90,1542.64,26723.10,2356.06,0.0128,0.9051,65.06
504.00,32664.90,1532.80,27088.30,2080.42,0.0123,0.9066,63.53
506.00,32843.60,1462.02,27428.00,2062.60,0.0123,0.9077,62.10
508.00,33022.80,1377.42,27740.90,2099.14,0.0122,0.9086,60.67
510.00,33203.10,1282.77,28067.60,2108.88,0.0127,0.9097,60.04
512.00,33376.30,1416.12,28319.50,2116.85,0.0139,0.9106,61.56
514.00,33533.90,1456.34,28376.00,2070.74,0.0132,0.9115,62.66
516.00,33700.10,1527.87,28469.20,2089.83,0.0133,0.9128,63.94
518.00,33865.20,1554.15,28543.70,1973.30,0.0136,0.9140,65.27
520.00,34026.50,1615.99,28611.10,2022.34,0.0136,0.9149,66.55
522.00,34186.90,1615.98,28681.90,2108.13,0.0131,0.9158,67.68
524.00,34353.80,1612.29,28764.00,2164.20,0.0132,0.9165,68.96
526.00,34519.70,1651.38,28835.70,2222.30,0.0135,0.9179,69.72
528.00,34681.70,1608.95,28947.80,2111.02,0.0130,0.9189,68.51
530.00,34849.60,1514.08,29228.60,2107.54,0.0134,0.9198,67.54
532.00,35011.50,1484.45,29492.10,2044.00,0.0142,0.9207,66.63
534.00,35164.40,1464.54,29759.80,1928.70,0.0144,0.9216,65.57
536.00,35315.50,1453.20,30035.00,2059.36,0.0138,0.9222,65.75
538.00,35473.00,1461.11,30214.90,2064.69,0.0141,0.9228,66.62
540.00,35626.60,1460.96,30334.70,2096.16,0.0136,0.9236,67.25
542.00,35786.30,1455.48,30474.80,2047.73,0.0142,0.9245,68.15
544.00,35938.80,1441.32,30583.40,2029.52,0.0131,0.9253,68.66
546.00,36103.20,1444.47,30726.30,2074.22,0.0131,0.9257,69.17
548.00,36268.20,1454.96,30867.70,2187.97,0.0128,0.9262,69.55
550.00,36436.90,1451.62,31027.30,2123.33,0.0131,0.9268,70.08
552.00,36601.20,1439.59,31168.20,2046.65,0.0127,0.9273,70.41
554.00,36771.00,1456.41,31322.50,2021.97,0.0129,0.9277,70.91
556.00,36938.30,1438.78,31459.80,1996.32,0.0127,0.9282,71.30
558.00,37107.90,1429.62,31604.70,2091.04,0.0131,0.9287,71.84
560.00,37272.80,1427.80,31745.90,1907.23,0.0130,0.9291,72.26
562.00,37438.60,1391.86,31893.30,1731.17,0.0133,0.9296,72.73
564.00,37600.00,1349.87,32029.90,1677.61,0.0137,0.9300,73.13
566.00,37757.40,1316.43,32165.30,1562.76,0.0136,0.9303,72.24
568.00,37915.30,1231.07,32393.20,1544.57,0.0142,0.9306,71.14
570.00,38066.30,1186.88,32647.60,1539.64,0.0147,0.9310,70.01
572.00,38212.00,1283.27,32917.50,1432.75,0.0137,0.9313,68.49
574.00,38369.30,1311.05,33221.40,1273.17,0.0134,0.9316,67.18
576.00,38529.00,1311.37,33476.50,1311.09,0.0140,0.9319,69.00
578.00,38682.40,1360.57,33487.70,1377.29,0.0137,0.9323,71.57
580.00,38838.80,1396.31,33510.20,1508.51,0.0135,0.9328,72.63
582.00,38997.30,1446.63,33554.60,1525.42,0.0132,0.9337,71.52
584.00,39159.00,1506.31,33801.10,1529.57,0.0128,0.9332,70.32
586.00,39327.00,1571.64,34056.50,1627.49,0.0120,0.9330,69.03
588.00,39505.10,1631.65,34319.80,1604.26,0.0113,0.9334,67.72
590.00,39694.10,1618.77,34583.30,1666.39,0.0109,0.9340,66.48
592.00,39891.00,1473.03,34841.60,1515.53,0.0115,0.9344,65.53
594.00,40077.80,1390.15,35070.80,1473.59,0.0119,0.9345,64.52
596.00,40257.70,1345.13,35293.30,1452.08,0.0117,0.9354,63.38
598.00,40440.30,1373.92,35527.60,1463.86,0.0113,0.9351,62.20
600.00,40629.10,1406.01,35773.60,1456.65,0.0112,0.9358,61.11
602.00,40820.00,1414.08,36005.40,1435.14,0.0111,0.9357,60.54
604.00,41012.50,1425.41,36215.30,1455.14,0.0119,0.9359,60.34
606.00,41192.40,1490.38,36397.30,1454.51,0.0113,0.9361,59.74
608.00,41381.90,1520.25,36608.20,1439.08,0.0116,0.9360,59.34
610.00,41566.40,1587.49,36809.70,1460.52,0.0114,0.9365,58.78
612.00,41754.50,1652.37,37018.90,1425.14,0.0110,0.9365,58.17
614.00,41948.80,1690.60,37233.50,1435.95,0.0107,0.9369,57.89
616.00,42148.00,1693.09,37418.90,1397.49,0.0108,0.9374,57.91
618.00,42345.80,1721.25,37577.30,1352.25,0.0112,0.9378,58.07
620.00,42537.10,1768.30,37721.50,1337.18,0.0113,0.9384,58.41
622.00,42725.90,1749.26,37851.00,1262.36,0.0116,0.9388,58.88
624.00,42909.70,1730.83,37970.10,1204.38,0.0121,0.9399,59.37
626.00,43085.20,1735.20,38080.60,1184.28,0.0119,0.9431,59.64
628.00,43263.40,1722.48,38193.80,1277.61,0.0120,0.9434,59.91
630.00,43440.80,1759.96,38328.20,1319.41,0.0121,0.9435,60.14
632.00,43615.30,1827.99,38469.40,1290.70,0.0123,0.9440,59.80
634.00,43787.20,1836.56,38648.30,1352.78,0.0112,0.9440,58.96
636.00,43975.80,1784.28,38866.20,1402.57,0.0110,0.9445,58.34
638.00,44167.50,1727.09,39070.30,1471.16,0.0118,0.9454,58.00
640.00,44346.80,1685.59,39257.50,1545.27,0.0115,0.9475,57.61
642.00,44531.10,1614.84,39452.90,1619.35,0.0117,0.9496,57.94
644.00,44710.50,1574.03,39597.60,1653.41,0.0124,0.9517,58.61
646.00,44880.00,1552.07,39715.60,1611.07,0.0126,0.9521,59.20
648.00,45047.00,1470.03,39855.40,1495.69,0.0125,0.9518,59.73
650.00,45214.80,1460.52,39998.70,1404.41,0.0139,0.9528,60.38
652.00,45365.90,1458.77,40120.40,1382.45,0.0141,0.9545,60.66
654.00,45514.20,1462.76,40266.80,1342.69,0.0141,0.9567,60.84
656.00,45662.10,1407.90,40421.10,1370.71,0.0146,0.9586,61.06
658.00,45804.60,1387.47,40579.00,1397.13,0.0148,0.9596,61.15
660.00,45945.50,1430.19,40754.90,1428.25,0.0140,0.9609,61.04
662.00,46094.50,1366.40,40950.10,1385.77,0.0148,0.9620,61.23
664.00,46234.60,1442.25,41111.10,1488.03,0.0141,0.9633,61.08
666.00,46382.20,1482.06,41301.90,1493.54,0.0142,0.9648,61.10
668.00,46528.10,1544.47,41478.60,1552.53,0.0141,0.9663,61.04
670.00,46674.50,1518.26,41661.80,1625.50,0.0136,0.9678,60.87
672.00,46826.00,1471.67,41860.30,1683.08,0.0139,0.9694,60.86
674.00,46974.70,1469.91,42048.80,1699.10,0.0142,0.9708,60.87
676.00,47119.40,1455.85,42238.10,1687.63,0.0142,0.9721,61.26
678.00,47264.30,1446.71,42388.60,1734.60,0.0141,0.9734,61.80
680.00,47410.40,1466.10,42522.00,1769.52,0.0140,0.9747,62.35
682.00,47557.20,1466.85,42652.90,1758.90,0.0135,0.9760,61.89
684.00,47709.10,1456.60,42872.50,1729.91,0.0131,0.9772,61.11
686.00,47864.80,1452.47,43110.50,1735.83,0.0133,0.9783,60.39
688.00,48018.90,1440.19,43344.90,1715.36,0.0131,0.9794,59.59
690.00,48175.20,1402.72,43583.50,1826.41,0.0130,0.9804,58.77
692.00,48332.50,1389.25,43822.90,1838.34,0.0137,0.9814,57.98
694.00,48481.00,1401.49,44080.80,1747.15,0.0134,0.9824,56.96
696.00,48633.30,1378.47,44350.40,1684.77,0.0136,0.9834,56.02
698.00,48783.20,1408.72,44612.30,1583.38,0.0138,0.9843,55.03
700.00,48930.60,1464.68,44865.30,1559.28,0.0126,0.9853,54.15
702.00,49091.60,1464.75,45101.10,1443.47,0.0126,0.9859,54.70
704.00,49252.10,1413.41,45220.70,1461.40,0.0128,0.9862,55.26
706.00,49410.50,1383.46,45328.10,1457.87,0.0139,0.9868,56.01
