"County" "Year" "JanAvgMaxTemp" "FebAvgMaxTemp" "MarAvgMaxTemp" "AprAvgMaxTemp" "JanAvgMinTemp" "FebAvgMinTemp" "MarAvgMinTemp" "AprAvgMinTemp" "JanTotalPrecip" "FebTotalPrecip" "MarTotalPrecip" "AprTotalPrecip" "AprTotalGDD" "CornYield" "SoybeanYield"
"433" "big stone" 1994 6.8 15.5 39.4 56.2 -9.9 -4.4 23.1 34.6 0.77 0.93 0.53 4.31 50 123 29
"434" "big stone" 1995 22 26.5 38 46.4 5.7 7.1 21.1 31 0.61 0.5 3.48 2.98 0 99 29
"435" "big stone" 1996 10.6 22.6 29.5 48.2 -7.1 4.5 13.2 29.4 2.2 0.56 0.52 0.6 5 111 32
"436" "big stone" 1997 12 24.6 32.2 48.4 -4 6 14.5 29.7 0.89 0.53 1.43 3.22 12 119 35
"437" "big stone" 1998 20.7 34.7 31.8 58.8 5.7 23.2 20.6 37.9 1.19 1.13 1.91 2.71 72 140 37
"438" "big stone" 1999 18.2 33.5 40.5 55 2.3 18.9 24.2 37.6 1.18 0.16 1.44 1.72 41 139 39
"439" "big stone" 2000 21.2 33.3 49 54.4 1.4 15.1 29.4 34 0.77 1.05 0.97 1.31 56 141 39
"440" "big stone" 2001 24.9 15.7 30 51.6 7.4 -4.1 13.4 35.3 1.23 2.05 0.56 6.3 79 135 34
"441" "big stone" 2002 28 36 28.6 52 11.6 18.8 10.2 33.1 0.42 0.81 1.22 2.32 69 146 39
"442" "big stone" 2003 21.9 22.6 38.8 57.3 2.9 0.8 17 35.4 0.35 0.69 0.27 2.16 85 117 27
"443" "big stone" 2004 15.7 25.5 42.5 59.5 -0.7 10.2 24.9 34.1 0.635 0.625 0.87 1.135 83 149 33
"445" "big stone" 2005 19.2 29.4 38.7 60.4 3.1 15 20.4 39.3 0.895 0.62 0.125 1.83 105 169 43
"447" "big stone" 2006 31.5 22.4 36.9 59.7 19 3.8 23 40.6 0.69 0.37 1.08 2.96 95 155 40
"449" "big stone" 2007 25.6 17.4 40.9 51.2 7.3 1.6 24.9 33.3 0.28 1.885 2.375 4.765 93 128 39
